Date,Open,High,Low,Close ,Adj Close 
13-Jun-25,"105,924.59","106,182.55","102,822.02","106,090.97","106,090.97"
12-Jun-25,"108,685.91","108,780.70","105,785.69","105,929.05","105,929.05"
11-Jun-25,"110,261.80","110,384.22","108,086.33","108,686.63","108,686.63"
10-Jun-25,"110,295.69","110,380.13","108,367.71","110,257.23","110,257.23"
9-Jun-25,"105,793.02","110,561.42","105,400.23","110,294.10","110,294.10"
8-Jun-25,"105,617.51","106,497.06","105,075.33","105,793.65","105,793.65"
7-Jun-25,"104,390.65","105,972.76","103,987.31","105,615.63","105,615.63"
6-Jun-25,"101,574.37","105,376.77","101,169.57","104,390.34","104,390.34"
5-Jun-25,"104,750.78","105,936.69","100,436.88","101,575.95","101,575.95"
4-Jun-25,"105,434.37","105,997.70","104,232.70","104,731.98","104,731.98"
3-Jun-25,"105,888.48","106,813.58","104,920.84","105,432.47","105,432.47"
2-Jun-25,"105,649.81","105,958.31","103,727.55","105,881.53","105,881.53"
1-Jun-25,"104,637.30","105,884.55","103,826.95","105,652.10","105,652.10"
31-May-25,"103,994.72","104,927.10","103,136.12","104,638.09","104,638.09"
30-May-25,"105,646.21","106,308.95","103,685.79","103,998.57","103,998.57"
29-May-25,"107,795.57","108,910.05","105,374.40","105,641.76","105,641.76"
28-May-25,"108,992.17","109,298.29","106,812.93","107,802.33","107,802.33"
27-May-25,"109,440.41","110,744.21","107,609.55","108,994.64","108,994.64"
26-May-25,"109,023.78","110,376.88","108,735.64","109,440.37","109,440.37"
25-May-25,"107,802.27","109,313.30","106,683.38","109,035.39","109,035.39"
24-May-25,"107,278.51","109,454.52","106,895.29","107,791.16","107,791.16"
23-May-25,"111,679.36","111,798.91","106,841.30","107,287.80","107,287.80"
22-May-25,"109,673.49","111,970.17","109,285.07","111,673.28","111,673.28"
21-May-25,"106,791.31","110,724.46","106,127.23","109,678.08","109,678.08"
20-May-25,"105,605.41","107,307.12","104,206.52","106,791.09","106,791.09"
19-May-25,"106,430.53","107,068.72","102,112.69","105,606.18","105,606.18"
18-May-25,"103,186.95","106,597.17","103,142.60","106,446.01","106,446.01"
17-May-25,"103,489.29","103,716.95","102,659.18","103,191.09","103,191.09"
16-May-25,"103,735.66","104,533.48","103,137.48","103,489.29","103,489.29"
15-May-25,"103,538.83","104,153.62","101,440.81","103,744.64","103,744.64"
14-May-25,"104,167.33","104,303.56","102,618.30","103,539.41","103,539.41"
13-May-25,"102,812.49","104,997.42","101,515.09","104,169.81","104,169.81"
12-May-25,"104,106.96","105,747.45","100,814.41","102,812.95","102,812.95"
11-May-25,"104,701.07","104,937.99","103,364.74","104,106.36","104,106.36"
10-May-25,"102,973.71","104,961.77","102,830.48","104,696.33","104,696.33"
9-May-25,"103,239.13","104,297.49","102,343.09","102,970.85","102,970.85"
8-May-25,"97,034.25","103,969.54","96,913.88","103,241.46","103,241.46"
7-May-25,"96,800.20","97,625.80","95,829.34","97,032.32","97,032.32"
6-May-25,"94,748.38","96,889.18","93,399.86","96,802.48","96,802.48"
5-May-25,"94,319.56","95,193.19","93,566.27","94,748.05","94,748.05"
4-May-25,"95,877.19","96,318.92","94,173.43","94,315.98","94,315.98"
3-May-25,"96,904.63","96,943.88","95,821.29","95,891.80","95,891.80"
2-May-25,"96,494.97","97,905.90","96,375.95","96,910.07","96,910.07"
1-May-25,"94,212.86","97,437.96","94,153.63","96,492.34","96,492.34"
30-Apr-25,"94,286.47","95,249.32","92,979.64","94,207.31","94,207.31"
29-Apr-25,"94,981.86","95,485.41","93,796.63","94,284.79","94,284.79"
28-Apr-25,"93,755.30","95,598.49","92,860.80","94,978.75","94,978.75"
27-Apr-25,"94,660.91","95,301.20","93,665.40","93,754.84","93,754.84"
26-Apr-25,"94,714.65","95,251.36","93,927.25","94,646.93","94,646.93"
25-Apr-25,"93,954.25","95,768.39","92,898.59","94,720.50","94,720.50"
24-Apr-25,"93,692.40","94,016.20","91,696.71","93,943.80","93,943.80"
23-Apr-25,"93,427.59","94,535.73","91,962.96","93,699.11","93,699.11"
22-Apr-25,"87,521.88","93,817.38","87,084.53","93,441.89","93,441.89"
21-Apr-25,"85,171.54","88,460.09","85,143.84","87,518.91","87,518.91"
20-Apr-25,"85,066.07","85,306.38","83,976.84","85,174.30","85,174.30"
19-Apr-25,"84,450.87","85,597.70","84,353.46","85,063.41","85,063.41"
18-Apr-25,"84,900.19","85,095.05","84,298.88","84,450.80","84,450.80"
17-Apr-25,"84,030.67","85,449.07","83,749.75","84,895.75","84,895.75"
16-Apr-25,"83,674.51","85,428.28","83,100.62","84,033.87","84,033.87"
15-Apr-25,"84,539.70","86,429.35","83,598.82","83,668.99","83,668.99"
14-Apr-25,"83,694.52","85,785.00","83,690.64","84,542.39","84,542.39"
13-Apr-25,"85,279.47","86,015.19","83,027.01","83,684.98","83,684.98"
12-Apr-25,"83,404.52","85,856.19","82,769.38","85,287.11","85,287.11"
11-Apr-25,"79,625.05","84,247.48","78,936.32","83,404.84","83,404.84"
10-Apr-25,"82,565.98","82,700.93","78,456.13","79,626.14","79,626.14"
9-Apr-25,"76,273.56","83,541.00","74,589.67","82,573.95","82,573.95"
8-Apr-25,"79,218.48","80,823.89","76,198.02","76,271.95","76,271.95"
7-Apr-25,"78,221.34","81,119.06","74,436.68","79,235.34","79,235.34"
6-Apr-25,"83,504.51","83,704.72","77,097.74","78,214.48","78,214.48"
5-Apr-25,"83,844.70","84,207.02","82,377.73","83,504.80","83,504.80"
4-Apr-25,"83,100.25","84,696.15","81,670.75","83,843.80","83,843.80"
3-Apr-25,"82,487.48","83,909.30","81,282.10","83,102.83","83,102.83"
2-Apr-25,"85,180.61","88,466.95","82,343.54","82,485.71","82,485.71"
1-Apr-25,"82,551.92","85,487.37","82,429.36","85,169.17","85,169.17"
31-Mar-25,"82,336.06","83,870.13","81,293.89","82,548.91","82,548.91"
30-Mar-25,"82,596.98","83,505.00","81,573.25","82,334.52","82,334.52"
29-Mar-25,"84,352.07","84,567.34","81,634.14","82,597.59","82,597.59"
28-Mar-25,"87,185.23","87,489.86","83,557.64","84,353.15","84,353.15"
27-Mar-25,"86,896.26","87,786.73","85,837.94","87,177.10","87,177.10"
26-Mar-25,"87,460.23","88,292.16","85,861.45","86,900.88","86,900.88"
25-Mar-25,"87,512.82","88,542.40","86,346.08","87,471.70","87,471.70"
24-Mar-25,"86,070.93","88,758.73","85,541.20","87,498.91","87,498.91"
23-Mar-25,"83,831.90","86,094.78","83,794.91","86,054.38","86,054.38"
22-Mar-25,"84,046.26","84,513.88","83,674.78","83,832.48","83,832.48"
21-Mar-25,"84,164.54","84,782.27","83,171.07","84,043.24","84,043.24"
20-Mar-25,"86,872.95","87,443.27","83,647.20","84,167.20","84,167.20"
19-Mar-25,"82,718.80","87,021.19","82,569.73","86,854.23","86,854.23"
18-Mar-25,"84,075.72","84,075.72","81,179.99","82,718.50","82,718.50"
17-Mar-25,"82,576.34","84,725.33","82,492.16","84,075.69","84,075.69"
16-Mar-25,"84,333.32","85,051.60","82,017.91","82,579.69","82,579.69"
15-Mar-25,"83,968.41","84,672.67","83,639.59","84,343.11","84,343.11"
14-Mar-25,"81,066.99","85,263.29","80,797.56","83,969.10","83,969.10"
13-Mar-25,"83,724.92","84,301.70","79,931.85","81,066.70","81,066.70"
12-Mar-25,"82,857.38","84,358.58","80,635.25","83,722.36","83,722.36"
11-Mar-25,"78,523.88","83,577.76","76,624.25","82,862.21","82,862.21"
10-Mar-25,"80,597.15","83,955.93","77,420.59","78,532.00","78,532.00"
9-Mar-25,"86,154.30","86,471.13","80,052.48","80,601.04","80,601.04"
8-Mar-25,"86,742.66","86,847.27","85,247.48","86,154.59","86,154.59"
7-Mar-25,"89,963.28","91,191.05","84,717.68","86,742.67","86,742.67"
6-Mar-25,"90,622.36","92,804.94","87,852.14","89,961.73","89,961.73"
5-Mar-25,"87,222.95","90,998.24","86,379.77","90,623.56","90,623.56"
4-Mar-25,"86,064.07","88,911.27","81,529.24","87,222.20","87,222.20"
3-Mar-25,"94,248.42","94,429.75","85,081.30","86,065.67","86,065.67"
2-Mar-25,"86,036.26","95,043.44","85,040.21","94,248.35","94,248.35"
1-Mar-25,"84,373.87","86,522.30","83,794.23","86,031.91","86,031.91"
28-Feb-25,"84,705.63","85,036.32","78,248.91","84,373.01","84,373.01"
27-Feb-25,"84,076.86","87,000.78","83,144.96","84,704.23","84,704.23"
26-Feb-25,"88,638.89","89,286.25","82,131.90","84,347.02","84,347.02"
25-Feb-25,"91,437.12","92,511.08","86,008.23","88,736.17","88,736.17"
24-Feb-25,"96,277.96","96,503.45","91,371.74","91,418.17","91,418.17"
23-Feb-25,"96,577.80","96,671.88","95,270.45","96,273.92","96,273.92"
22-Feb-25,"96,134.20","96,950.16","95,765.34","96,577.76","96,577.76"
